text,text_lower,label
the Eastern Republic of Uruguay,the eastern republic of uruguay,GPE
Montevideo Mechanism,montevideo mechanism,WORK_OF_ART
Venezuela,venezuela,GPE
the Framework of the International Conference of Montevideo,the framework of the international conference of montevideo,GPE
the Caribbean Community,the caribbean community,ORG
Venezuela,venezuela,GPE
Montevideo,montevideo,PERSON
Mexican,mexican,NORP
the International Contact Group,the international contact group,ORG
the European Union,the european union,ORG
Spain,spain,GPE
Italy,italy,GPE
Portugal,portugal,GPE
Sweden,sweden,GPE
Germany,germany,GPE
France,france,GPE
Netherlands,netherlands,GPE
United Kingdom,united kingdom,GPE
Bolivia,bolivia,GPE
Costa Rica,costa rica,GPE
Ecuador,ecuador,GPE
Venezuela,venezuela,GPE
Mexico,mexico,GPE
Foreign Affairs,foreign affairs,ORG
the Eastern Republic of the,the eastern republic of the,GPE
José Mujica Cordano,josé mujica cordano,PERSON
Venezuela,venezuela,GPE
Mexican,mexican,NORP
Roberto Ampuero,roberto ampuero,PERSON
Mexico City,mexico city,GPE
The Cooperation and Political Affairs Commissions of the Council of the Strategic Association Agreement,the cooperation and political affairs commissions of the council of the strategic association agreement,ORG
the Mexico-Chile Free Trade Agreement,the mexico-chile free trade agreement,ORG
the Republic of El Salvador,the republic of el salvador,GPE
Nayib Bukele Ortez,nayib bukele ortez,PERSON
Central America,central america,LOC
Mexico,mexico,GPE
PDI,pdi,ORG
the Permanent Information Mechanism and Political Consultations Meeting,the permanent information mechanism and political consultations meeting,ORG
Mexico City,mexico city,GPE
the Working Group on Migratory,the working group on migratory,ORG
Consular Affairs,consular affairs,ORG
Havana,havana,GPE
the Republic of Guatemala,the republic of guatemala,GPE
Foreign Affairs,foreign affairs,ORG
Mexico,mexico,GPE
POI,poi,ORG
Foreign Affairs,foreign affairs,ORG
Mexico City,mexico city,GPE
the Strategic Association Agreement and Generate A,the strategic association agreement and generate a,ORG
Cuba,cuba,GPE
Mexico,mexico,GPE
Mexican,mexican,NORP
Mexico,mexico,GPE
Cuba,cuba,GPE
the Global Agenda,the global agenda,LOC
the Ministerial Conference on Latin America,the ministerial conference on latin america,ORG
Caribbean,caribbean,LOC
Berlin,berlin,GPE
Germany,germany,GPE
Foreign Affairs,foreign affairs,ORG
Panama,panama,GPE
Mexico,mexico,GPE
the Central America,the central america,LOC
Mexican,mexican,NORP
the Argentine Republic,the argentine republic,GPE
Jorge Faurie,jorge faurie,PERSON
Mexico,mexico,GPE
Argentina,argentina,GPE
the Organization for Economic Cooperation and Development,the organization for economic cooperation and development,ORG
OECD,oecd,ORG
Mexico,mexico,GPE
Tapachula,tapachula,GPE
Chiapas,chiapas,GPE
the Republic of El Salvador,the republic of el salvador,GPE
Nayib Bukele,nayib bukele,PERSON
the Republic of El Salvador,the republic of el salvador,GPE
50 thousand hectares,50 thousand hectares,QUANTITY
European,european,NORP
Pedro Sánchez,pedro sánchez,PERSON
Integral for Central America,integral for central america,ORG
the Spanish Agency,the spanish agency,ORG
International Cooperation for Development (AECID,international cooperation for development (aecid,ORG
Central America,central america,LOC
Cervantes Institute,cervantes institute,ORG
Los Angeles,los angeles,GPE
California,california,GPE
Belgium,belgium,GPE
Belgian,belgian,NORP
the Integral Development Plan for Central America,the integral development plan for central america,ORG
Mexico,mexico,GPE
the European Union,the european union,ORG
Luxembourg,luxembourg,GPE
Xavier Bettel,xavier bettel,ORG
the European Union Global Agreement,the european union global agreement,ORG
Central America,central america,LOC
the Frame of the Integral Development Plan,the frame of the integral development plan,FAC
Mexican,mexican,NORP
Bettel,bettel,PERSON
Luxembourg,luxembourg,GPE
Phumzile Mlambo-Ngcuka,phumzile mlambo-ngcuka,ORG
UN,un,ORG
Mexico,mexico,GPE
Municipal,municipal,PERSON
Mexico,mexico,GPE
The European Union,the european union,ORG
https://www.gob.mx/sre/prensa/mexico-y-espane-unidos-por-la-historia-comprometidos-con-el-cambio,https://www.gob.mx/sre/prensa/mexico-y-espane-unidos-por-la-historia-comprometidos-con-el-cambio,PERSON
Latin America,latin america,LOC
Mexico,mexico,GPE
Mexico,mexico,GPE
Central American,central american,NORP
PDI,pdi,ORG
Central America,central america,LOC
Authorities of the Republic of Korea,authorities of the republic of korea,ORG
Mexico,mexico,GPE
Japan,japan,GPE
the Mexican International Cooperation Agency for Development,the mexican international cooperation agency for development,ORG
AMEXCID,amexcid,ORG
the Japan International Cooperation Agency,the japan international cooperation agency,ORG
JICA,jica,ORG
Central America,central america,LOC
PDI,pdi,ORG
Germany,germany,GPE
Angela Merkel,angela merkel,PERSON
PDI,pdi,ORG
the German Government,the german government,ORG
Mexico,mexico,GPE
the European Commission,the european commission,ORG
European,european,NORP
the PDI for Central America,the pdi for central america,ORG
Mexico,mexico,GPE
the European Union,the european union,ORG
the High Representative,the high representative,GPE
the European Union for Foreign Affairs and Security Policy,the european union for foreign affairs and security policy,ORG
Federica Mogherini,federica mogherini,PERSON
EU,eu,ORG
the Integral Development Plan,the integral development plan,ORG
Mexico,mexico,GPE
Chinese,chinese,NORP
Mexico,mexico,GPE
China,china,GPE
Mexico,mexico,GPE
the Latin America,the latin america,LOC
Caribbean,caribbean,LOC
Meeting of the Forum of the Latin American,meeting of the forum of the latin american,WORK_OF_ART
Caribbean Development,caribbean development,ORG
ECLAC,eclac,ORG
Santiago de Chile,santiago de chile,PERSON
the Sustainable Development Goals,the sustainable development goals,ORG
the High Level Group,the high level group,ORG
the Pacific Alliance,the pacific alliance,ORG
Chile,chile,GPE
Colombia,colombia,GPE
Mexico,mexico,GPE
Peru,peru,GPE
Mexico,mexico,GPE
South America,south america,LOC
Asia-Pacific,asia-pacific,LOC
Mexico,mexico,GPE
the European Union,the european union,ORG
Associate State,associate state,GPE
CEA,cea,ORG
Foreign Affairs,foreign affairs,ORG
Caricom,caricom,ORG
Irwin Larocque,irwin larocque,PERSON
Venezuelan,venezuelan,NORP
Mexico,mexico,GPE
the VIII Summit of Heads of State and Government,the viii summit of heads of state and government,LAW
the Caribbean States Association,the caribbean states association,ORG
Managua,managua,GPE
Nicaragua,nicaragua,GPE
Caribbean,caribbean,LOC
"the Managua Declaration, Action Plan of the AEC 2019-2021","the managua declaration, action plan of the aec 2019-2021",EVENT
Lima,lima,GPE
Peru,peru,GPE
the I Technical Forum of Cooperation of the Pacific Alliance,the i technical forum of cooperation of the pacific alliance,ORG
States,states,GPE
Alliance,alliance,ORG
Alliance,alliance,ORG
Mexico City,mexico city,GPE
the High Level Group,the high level group,ORG
GAN,gan,ORG
the Pacific Alliance,the pacific alliance,ORG
Ecuador,ecuador,GPE
Korea,korea,GPE
Mexico,mexico,GPE
the Council of Ministers of the Pacific Alliance,the council of ministers of the pacific alliance,ORG
Azerbaijan,azerbaijan,GPE
Kazakhstan,kazakhstan,GPE
the Pacific Alliance,the pacific alliance,ORG
the Ibero-American Conference,the ibero-american conference,ORG
Madrid,madrid,GPE
Spain,spain,GPE
Mexican,mexican,NORP
Agency,agency,ORG
Mexico,mexico,GPE
the Integral Development Plan for Central America,the integral development plan for central america,LAW
the Mexican Fund for International Cooperation for Development,the mexican fund for international cooperation for development,ORG
Ibero-America,ibero-america,ORG
PDI,pdi,ORG
Mexico,mexico,GPE
the General Assembly of,the general assembly of,ORG
OAS,oas,ORG
Medellín,medellín,GPE
Colombia,colombia,GPE
Mexican,mexican,NORP
Foreign Affairs,foreign affairs,ORG
Finance and Public Credit,finance and public credit,ORG
Mexico,mexico,GPE
G20,g20,ORG
Osaka,osaka,GPE
Japan,japan,GPE
G20,g20,GPE
Mexico,mexico,GPE
Summit,summit,ORG
Summit,summit,ORG
Mexican,mexican,NORP
G20,g20,ORG
Japan,japan,GPE
Mexico,mexico,GPE
PDI,pdi,ORG
Central America,central america,LOC
G20,g20,ORG
Summit,summit,ORG
Mexico,mexico,GPE
G20,g20,ORG
Mexico,mexico,GPE
Australia,australia,GPE
Indonesia,indonesia,GPE
the Republic of Korea,the republic of korea,GPE
Turkey,turkey,GPE
Mexican,mexican,NORP
The Mexican Work Program,the mexican work program,ORG
Agenda 2030,agenda 2030,PERSON
the General Assembly of,the general assembly of,ORG
the United Nations,the united nations,ORG
Agonu,agonu,LOC
Mexico,mexico,GPE
Agonu,agonu,LOC
Mexico,mexico,GPE
Agonu,agonu,LOC
Mexico,mexico,GPE
Mexican,mexican,NORP
UN,un,ORG
Haiti,haiti,GPE
Colombia,colombia,GPE
Western Saha,western saha,ORG
Central African Republic,central african republic,NORP
Mali,mali,PERSON
Mexico,mexico,GPE
the Ministerial Conference,the ministerial conference,ORG
New York,new york,GPE
Organization,organization,FAC
Mexico,mexico,GPE
Mexico,mexico,GPE
the United Nations Narcotic Commission,the united nations narcotic commission,ORG
Vienna,vienna,GPE
Austria,austria,GPE
the Government of Mexico,the government of mexico,ORG
Mexico,mexico,GPE
Geneva,geneva,GPE
Switzerland,switzerland,GPE
Mexico,mexico,GPE
Mexico,mexico,GPE
the Human Rights Council,the human rights council,ORG
Geneva,geneva,GPE
Switzerland,switzerland,GPE
Mexico,mexico,GPE
Mexican,mexican,NORP
Mexico,mexico,GPE
New York,new york,GPE
USA,usa,GPE
Mexico,mexico,GPE
Mexico,mexico,GPE
Mexican,mexican,NORP
the UN Headquarters,the un headquarters,ORG
New York,new york,GPE
USA,usa,GPE
Forum,forum,GPE
Mexico,mexico,GPE
Convention,convention,LAW
Agenda 2030,agenda 2030,PERSON
Mexican,mexican,NORP
the Inter-American Commission on Human Rights,the inter-american commission on human rights,ORG
PMM,pmm,ORG
the United Nations,the united nations,ORG
Mexico,mexico,GPE
the Intergovernmental Conference,the intergovernmental conference,ORG
the Global Compact,the global compact,LOC
MarraQuech,marraquech,ORG
Morocco,morocco,GPE
the United Nations,the united nations,ORG
Mexico,mexico,GPE
Switzerland,switzerland,GPE
the United Nations Children's Fund,the united nations children's fund,ORG
Mexico,mexico,GPE
UN,un,ORG
Tijuana,tijuana,GPE
Baja,baja,GPE
California,california,GPE
Tapachula,tapachula,GPE
Chiapas,chiapas,GPE
Mexico,mexico,GPE
United Nations,united nations,ORG
United Nations,united nations,ORG
the Economic and Social Council,the economic and social council,ORG
Agenda 2030,agenda 2030,PERSON
Mexico,mexico,GPE
United Nations,united nations,ORG
the United Nations,the united nations,ORG
National Development,national development,ORG
Agenda 2030,agenda 2030,PERSON
the National Council of Agenda 2030,the national council of agenda 2030,ORG
Mexican,mexican,NORP
Blue Agenda,blue agenda,PERSON
Norway,norway,GPE
Erna Solberg,erna solberg,PERSON
Government of Mexico,government of mexico,LOC
the High Level Panel,the high level panel,ORG
Mexico,mexico,GPE
Mexico,mexico,GPE
Sherpas,sherpas,PERSON
Abu Dhabi,abu dhabi,GPE
United Arab Emirates,united arab emirates,GPE
Meeting (Lisbon,meeting (lisbon,WORK_OF_ART
Portugal,portugal,GPE
Agenda 2030,agenda 2030,PERSON
Mexico,mexico,GPE
the United Nations Framework Convention on Climate Change,the united nations framework convention on climate change,ORG
UNFCCC,unfccc,ORG
Katowice,katowice,GPE
Poland,poland,GPE
the Paris Agreement,the paris agreement,EVENT
Mexico,mexico,GPE
Meeting of the Conference of the Parties to the Inter-American Convention for the Protection and Conservation of Marine Turtles,meeting of the conference of the parties to the inter-american convention for the protection and conservation of marine turtles,WORK_OF_ART
Domingo,domingo,GPE
Dominican Republic,dominican republic,GPE
the Fourth Session of the United Nations Environment Assembly,the fourth session of the united nations environment assembly,FAC
Nairobi,nairobi,GPE
Kenya,kenya,GPE
Mexico,mexico,GPE
Switzerland,switzerland,GPE
Mexico,mexico,GPE
Mexican Food Safety Agency,mexican food safety agency,ORG
Segalmex,segalmex,ORG
UN,un,ORG
Segalmex,segalmex,ORG
Mexico,mexico,GPE
FAO Conference,fao conference,ORG
China,china,GPE
Segalmex,segalmex,ORG
Multilateral Affairs and Human Rights,multilateral affairs and human rights,ORG
the Urban World Assembly,the urban world assembly,ORG
the Assembly of the United Nations Program for Human Settlements,the assembly of the united nations program for human settlements,ORG
UN-Habitat,un-habitat,ORG
Nairobi,nairobi,GPE
Kenya,kenya,GPE
Mexico,mexico,GPE
UN-Habitat,un-habitat,ORG
Mexico,mexico,GPE
United Nations Commission,united nations commission,ORG
the World Food Program,the world food program,ORG
UN Executive Board,un executive board,ORG
Narcotic Commission,narcotic commission,ORG
Governing Council of the International Institute for the Unification of Private Law: • Likewise,governing council of the international institute for the unification of private law: • likewise,ORG
Board of Directors,board of directors,ORG
the Climate Green Fund,the climate green fund,ORG
Advisory Commission,advisory commission,ORG
Adaptation Fund Board,adaptation fund board,ORG
Steering Committee of,steering committee of,ORG
Executive Board,executive board,ORG
the United Nations Program for Human Settlements,the united nations program for human settlements,ORG
Committee for the Protection of the Rights of All Migrant Workers,committee for the protection of the rights of all migrant workers,ORG
Families,families,ORG
the Regional Group,the regional group,ORG
Latin America,latin america,LOC
Caribbean,caribbean,LOC
GRULAC,grulac,ORG
Mexico,mexico,GPE
the UN Security Council,the un security council,ORG
Mexico,mexico,GPE
the United Nations Security Council,the united nations security council,ORG
Mexico,mexico,GPE
Mexico,mexico,GPE
Mexico,mexico,GPE
Mexico,mexico,GPE
the Mexican State,the mexican state,ORG
the Inter-American Commission on Human Rights,the inter-american commission on human rights,ORG
Situation of Human Rights,situation of human rights,WORK_OF_ART
Mexico,mexico,GPE
Mexican,mexican,NORP
the Committee against Torture of the United Nations,the committee against torture of the united nations,ORG
the Convention against Torture,the convention against torture,ORG
Mexico,mexico,GPE
the Beijing Action Platform,the beijing action platform,EVENT
PAB,pab,ORG
"the ""Forum for the","the ""forum for the",LAW
Mexico Report,mexico report,ORG
PAB,pab,ORG
The National Institute of Women,the national institute of women,ORG
the Ministry of Foreign Affairs,the ministry of foreign affairs,ORG
UN,un,ORG
Mexico,mexico,GPE
Pará,pará,PERSON
MESECVI,mesecvi,GPE
Mexican,mexican,NORP
the United Nations Committee against Racial Discrimination,the united nations committee against racial discrimination,ORG
Mexico,mexico,GPE
the International Convention on the Elimination of All Forms of Racial,the international convention on the elimination of all forms of racial,EVENT
ICERD,icerd,ORG
the Ministry of Foreign Affairs,the ministry of foreign affairs,ORG
the Inter-American System,the inter-american system,ORG
OAS,oas,ORG
the Universal System for Human Rights Protection,the universal system for human rights protection,ORG
Mexico,mexico,GPE
LXIV,lxiv,NORP
the Board of Directors of the Development of Indigenous Peoples of Latin America,the board of directors of the development of indigenous peoples of latin america,ORG
Caribbean,caribbean,LOC
FILAC,filac,ORG
FILAC,filac,ORG
the Technical Secretariat,the technical secretariat,ORG
Mexico,mexico,GPE
the I Meeting of National Coordinators and Cooperation Responsible for the Ibero-American Conference,the i meeting of national coordinators and cooperation responsible for the ibero-american conference,ORG
Madrid,madrid,GPE
Spain,spain,GPE
Pro Tempore Secretariat,pro tempore secretariat,PERSON
Innovation for Sustainable Development ð Objective,innovation for sustainable development ð objective,WORK_OF_ART
Mexico,mexico,GPE
Mexico,mexico,GPE
Mexico,mexico,GPE
the United Nations for Human Rights (OHCHR,the united nations for human rights (ohchr,ORG
the Commission for Truth,the commission for truth,ORG
Ayotzinapa,ayotzinapa,NORP
Mexico,mexico,GPE
OHCHR,ohchr,ORG
the National Guard,the national guard,ORG
the European Union,the european union,ORG
UN,un,ORG
Mexico City,mexico city,GPE
Commission,commission,ORG
the United Nations Rights Committee,the united nations rights committee,ORG
the Fund of United Nations for Children,the fund of united nations for children,ORG
Central America,central america,LOC
Caribbean,caribbean,LOC
Mesoamerica,mesoamerica,NORP
• Telecommunications,• telecommunications,ORG
the Radiocommunication Committee,the radiocommunication committee,ORG
the Federal Telecommunications Institute,the federal telecommunications institute,ORG
IFT,ift,ORG
Mexico,mexico,GPE
the World Radiocommunication Conference,the world radiocommunication conference,ORG
Meso-America,meso-america,ORG
Commission,commission,ORG
Inter-American Telecommunications,inter-american telecommunications,ORG
the International Telecommunications Union,the international telecommunications union,ORG
ITU,itu,ORG
the Regional Workshop on Information and Communication Technologies,the regional workshop on information and communication technologies,WORK_OF_ART
ICT,ict,ORG
Discipacity-Digital Government,discipacity-digital government,ORG
Liaison Meeting Digital Agenda,liaison meeting digital agenda,ORG
ADM,adm,ORG
ADM,adm,ORG
SRE,sre,ORG
LXI,lxi,PERSON
the Regional Electrical Market,the regional electrical market,ORG
CDMER,cdmer,ORG
the Central American Energy Sector,the central american energy sector,ORG
Mexico,mexico,GPE
the Regional Electricity of Central America,the regional electricity of central america,ORG
the Mexican Agency for,the mexican agency for,ORG
International Cooperation for Development,international cooperation for development,ORG
the Sectoral Council of Transport Ministers of Central America,the sectoral council of transport ministers of central america,ORG
Committee on Shortwide Maritime Transport,committee on shortwide maritime transport,ORG
Guatemala,guatemala,GPE
Mexico,mexico,GPE
Tax Administration Service Experts,tax administration service experts,ORG
Guatemala,guatemala,GPE
Honduras,honduras,GPE
the Republic of El Salvador,the republic of el salvador,GPE
Guatemala,guatemala,PERSON
the Departmental Food Technique,the departmental food technique,ORG
the Food Safety Law,the food safety law,ORG
the Republic of El Salvador,the republic of el salvador,GPE
the Caserío Community,the caserío community,ORG
El Guarumal,el guarumal,FAC
Sensebra,sensebra,PERSON
Mexico,mexico,GPE
Communities of Freedom,communities of freedom,ORG
Amazon,amazon,ORG
Colombia,colombia,GPE
the IX Mixed Commission,the ix mixed commission,ORG
the Hungry Meso-America Program,the hungry meso-america program,ORG
PDI,pdi,ORG
the Mesoamerican Public Health System,the mesoamerican public health system,ORG
the Republic of El Salvador,the republic of el salvador,GPE
Mesoamerican,mesoamerican,NORP
the Mesoamerican Network of Integral Risk Management,the mesoamerican network of integral risk management,ORG
RM-GIR,rm-gir,ORG
Costa Rica,costa rica,GPE
Mesoamerican,mesoamerican,NORP
the Sustainability Strategy,the sustainability strategy,ORG
Mexico City,mexico city,GPE
Integral Management of Risk,integral management of risk,ORG
Mexico,mexico,GPE
XXX Meeting of Directors of International Cooperation of Latin America,xxx meeting of directors of international cooperation of latin america,WORK_OF_ART
Latin American,latin american,NORP
Caribbean,caribbean,NORP
Panama,panama,GPE
the Infrastructure Fund,the infrastructure fund,ORG
Mesoamerica,mesoamerica,GPE
Caribbean,caribbean,LOC
Mexico,mexico,GPE
the Yucatan Fund,the yucatan fund,ORG
134.7 million dollars,134.7 million dollars,MONEY
332.9 million dollars,332.9 million dollars,MONEY
Belize,belize,GPE
El Salvador,el salvador,GPE
Costa Rica,costa rica,GPE
Panama,panama,GPE
5 million dollars,5 million dollars,MONEY
the Technical Committee,the technical committee,ORG
the México-Marigot Hospital Project in Dominica,the méxico-marigot hospital project in dominica,ORG
the Technical Committee of the Fund,the technical committee of the fund,ORG
Amexcid,amexcid,ORG
Decree,decree,ORG
the Coordination of Resources,the coordination of resources,ORG
the Yucatan Fund,the yucatan fund,ORG
the Official Gazette of the Federation Secretariat,the official gazette of the federation secretariat,WORK_OF_ART
the Mesoamerican Cooperation Program,the mesoamerican cooperation program,ORG
Mexican,mexican,NORP
the Biannual Program 2019-2020,the biannual program 2019-2020,LAW
the Climate Services Center for Mesoamerica,the climate services center for mesoamerica,ORG
Caribbean,caribbean,LOC
the Mexican Institute of Water Technology,the mexican institute of water technology,ORG
Amexcid,amexcid,ORG
the Association of Caribbean States,the association of caribbean states,ORG
Caribbean,caribbean,LOC
Port of Spain,port of spain,GPE
Trinidad,trinidad,GPE
Tobago,tobago,PERSON
the Caribbean Territorial Information Platform,the caribbean territorial information platform,ORG
the National Civil Protection Coordination,the national civil protection coordination,ORG
Caribbean,caribbean,LOC
the Organization for Food and Agriculture,the organization for food and agriculture,ORG
FAO,fao,ORG
Caribbean,caribbean,LOC
Cuba,cuba,GPE
Haiti,haiti,GPE
10 thousand hectares,10 thousand hectares,QUANTITY
Central America,central america,LOC
Caribbean,caribbean,LOC
Mexico,mexico,GPE
European,european,NORP
the United Kingdom,the united kingdom,GPE
Spain,spain,GPE
Switzerland,switzerland,GPE
Turkey,turkey,GPE
Netherlands,netherlands,GPE
Triangular,triangular,ORG
the Comprehensive Development Plan for Central America,the comprehensive development plan for central america,LAW
NNA,nna,ORG
Communities of Origin,communities of origin,ORG
Honduras,honduras,GPE
Guatemala,guatemala,GPE
El Salvador,el salvador,GPE
the North Triangle of,the north triangle of,ORG
Central America,central america,LOC
the Joint Fund Mexico-Germany,the joint fund mexico-germany,ORG
NNA,nna,ORG
the Joint Fund for Technical and Scientific Cooperation Mexico-Spain,the joint fund for technical and scientific cooperation mexico-spain,ORG
the Spanish International Cooperation Agency for Development (AECID,the spanish international cooperation agency for development (aecid,ORG
Mexico,mexico,GPE
Guatemala,guatemala,GPE
Honduras,honduras,GPE
Bolivia,bolivia,GPE
Colombia,colombia,GPE
Ecuador,ecuador,GPE
Paraguay,paraguay,ORG
Argentina,argentina,GPE
Cuba,cuba,GPE
the Dominican Republic,the dominican republic,GPE
France,france,GPE
Guatemala,guatemala,GPE
El Salvador,el salvador,GPE
Haiti,haiti,GPE
Cuba,cuba,GPE
Morocco,morocco,GPE
Niger,niger,PERSON
Agadir,agadir,GPE
Morocco,morocco,GPE
the Joint Fund of Cooperation,the joint fund of cooperation,ORG
Mexico,mexico,GPE
Uruguay,uruguay,GPE
Japan,japan,GPE
the Republic of El Salvador,the republic of el salvador,GPE
Northern Central America,northern central america,LOC
Mexico,mexico,GPE
Amexcid,amexcid,ORG
the United Nations,the united nations,ORG
Amexcid,amexcid,ORG
the Monterrey Group of Friends,the monterrey group of friends,ORG
Germany,germany,GPE
Switzerland,switzerland,GPE
Armenia,armenia,GPE
Bangladesh,bangladesh,GPE
Cabo Green,cabo green,PERSON
Chile,chile,GPE
Ethiopia,ethiopia,GPE
Indonesia,indonesia,GPE
the Czech Republic,the czech republic,GPE
Amexcid,amexcid,ORG
Mexico,mexico,GPE
FFD Forum,ffd forum,ORG
New York,new york,GPE
USA,usa,GPE
AMEXCID,amexcid,ORG
United Nations,united nations,ORG
Mexico,mexico,GPE
the Ibero-American Conference,the ibero-american conference,ORG
AMEXCID,amexcid,ORG
the Collaboration Agreement,the collaboration agreement,LAW
the Cultural Diplomacy Council,the cultural diplomacy council,ORG
Council,council,ORG
Mexicans,mexicans,NORP
Mexicans,mexicans,NORP
Mexico,mexico,GPE
Mexico,mexico,GPE
Mexican,mexican,NORP
the Tourist Diplomacy Council,the tourist diplomacy council,ORG
Mexico,mexico,GPE
Council,council,ORG
Mexico,mexico,GPE
Mexico Migration,mexico migration,ORG
the Federal Government,the federal government,ORG
Mexicans,mexicans,NORP
the United States of America,the united states of america,GPE
Mexicans,mexicans,NORP
Mexicans,mexicans,NORP
the United States of America The Government,the united states of america the government,GPE
Mexico,mexico,GPE
the Migrant Protection Strategy,the migrant protection strategy,ORG
USA,usa,GPE
US,us,GPE
the National Institute of Indigenous Languages,the national institute of indigenous languages,ORG
Mexican,mexican,NORP
the Consular Network,the consular network,ORG
US,us,GPE
Canada,canada,GPE
ISIST,isist,ORG
Mexico,mexico,GPE
US,us,GPE
Mexican,mexican,NORP
Mexico,mexico,GPE
Mexican,mexican,NORP
US,us,GPE
the Legal Assistance Program,the legal assistance program,ORG
US,us,GPE
Mexicans,mexicans,NORP
Mexicans,mexicans,NORP
the Gender Equality Program,the gender equality program,ORG
the Consular Network of Mexico,the consular network of mexico,ORG
Mexicans,mexicans,NORP
Mexico,mexico,GPE
USA,usa,GPE
Mexico,mexico,GPE
Mexican,mexican,NORP
Mexico,mexico,GPE
New Zealand,new zealand,GPE
Ethiopia,ethiopia,GPE
India,india,GPE
Sri Lanka,sri lanka,GPE
the Temporary Agricultural Program Mexico-Canada,the temporary agricultural program mexico-canada,ORG
the Consular Network of Mexico,the consular network of mexico,ORG
Consular,consular,ORG
Mexicans,mexicans,NORP
Canadian,canadian,NORP
US,us,GPE
Hague Convention,hague convention,EVENT
Mexicans,mexicans,NORP
Mexican,mexican,NORP
USA,usa,GPE
the US Consular Offices,the us consular offices,ORG
USA,usa,GPE
Consular,consular,ORG
the Civil Registry,the civil registry,ORG
the National Electoral Institute,the national electoral institute,ORG
Sabatinas,sabatinas,PERSON
the Mexitel Consular Appointments System,the mexitel consular appointments system,ORG
Phnom Penh,phnom penh,GPE
Cambodia,cambodia,GPE
Bucaramanga,bucaramanga,GPE
Colombia,colombia,GPE
"Skopje, Macedonia","skopje, macedonia",ORG
the Honorary Consulates,the honorary consulates,PERSON
Khartoum,khartoum,GPE
Sudan,sudan,GPE
Lighthouse,lighthouse,ORG
Portugal,portugal,GPE
Wattens,wattens,PERSON
Austria,austria,GPE
Mexican,mexican,NORP
US,us,GPE
the Institute of Mexicans,the institute of mexicans,ORG
Ottawa,ottawa,GPE
Canada,canada,GPE
Global Forum: Meeting Point,global forum: meeting point,WORK_OF_ART
the Mexican Community,the mexican community,ORG
Mexico,mexico,GPE
Mexican,mexican,NORP
Canada,canada,GPE
the Mexican Community,the mexican community,ORG
US,us,GPE
the IME Scholarship Strategy,the ime scholarship strategy,ORG
Binational Education,binational education,ORG
USA,usa,GPE
Mexico,mexico,GPE
Mexican,mexican,NORP
USA,usa,GPE
Mexico,mexico,GPE
USA,usa,GPE
Mexican,mexican,NORP
USA,usa,GPE
the Collaboration Agreement,the collaboration agreement,LAW
SRE,sre,ORG
the National Commission of Free Textbooks,the national commission of free textbooks,ORG
Mexico,mexico,GPE
North Triangle,north triangle,NORP
Central America,central america,LOC
Guatemala,guatemala,GPE
Honduras,honduras,GPE
the Republic of El Salvador,the republic of el salvador,GPE
Mexico,mexico,GPE
US,us,GPE
Regional,regional,ORG
Strategies,strategies,ORG
"Guatemala, Republic","guatemala, republic",GPE
El Salvador,el salvador,GPE
Honduras,honduras,GPE
Guatemalan,guatemalan,ORG
Belican,belican,NORP
Mexico,mexico,GPE
the North Triangle of,the north triangle of,ORG
Central America,central america,LOC
Mexico,mexico,GPE
the Integral Development Plan,the integral development plan,LAW
the Republic of El Salvador,the republic of el salvador,GPE
Guatemala,guatemala,GPE
Honduras,honduras,GPE
Mexico,mexico,GPE
Global Action,global action,ORG
Mexico,mexico,GPE
Mexican,mexican,NORP
The Comprehensive Commission for Migrant Girls,the comprehensive commission for migrant girls,ORG
Children and Adolescents and Refugee Statement,children and adolescents and refugee statement,ORG
Central American,central american,NORP
the Global Compact,the global compact,LOC
Mexican,mexican,NORP
USA,usa,GPE
Central Americans,central americans,NORP
Mexican,mexican,NORP
US,us,GPE
Central Americans,central americans,NORP
Mexican,mexican,NORP
The National Council,the national council,ORG
Migration and Xenophobiaó,migration and xenophobiaó,WORK_OF_ART
Academic Institutions,academic institutions,PERSON
Judicial,judicial,ORG
Legislative Branch,legislative branch,ORG
US,us,GPE
Mexico,mexico,GPE
Guatemala,guatemala,GPE
Honduras,honduras,GPE
El Salvador,el salvador,GPE
Nicaragua,nicaragua,GPE
Mexico,mexico,GPE
El Salvador,el salvador,GPE
Guatemala,guatemala,GPE
Honduras,honduras,GPE
the National Migration Institute,the national migration institute,ORG
Mexico,mexico,GPE
"the Regional Conference on Migration, Regional Forum","the regional conference on migration, regional forum",FAC
Mexico,mexico,GPE
Mexico,mexico,GPE
the Regional Workshop,the regional workshop,FAC
the United Nations,the united nations,ORG
International Red Cross,international red cross,ORG
Central American Integration System,central american integration system,ORG
The International Organization for Migration,the international organization for migration,ORG
Mexico,mexico,GPE
the United Nations,the united nations,ORG
the Regional Conference on Migration,the regional conference on migration,ORG
The Mexican Refugee Aid Commission,the mexican refugee aid commission,ORG
the Regional Consultation Group,the regional consultation group,ORG
CRM,crm,PRODUCT
Guatemala,guatemala,GPE
Quito,quito,GPE
Venezuelan,venezuelan,NORP
1 / Belize,1 / belize,ORG
Canada,canada,GPE
Costa Rica,costa rica,GPE
Dominican Republic,dominican republic,GPE
El Salvador,el salvador,GPE
USA,usa,GPE
Guatemala,guatemala,GPE
Honduras,honduras,GPE
Mexico,mexico,GPE
